#{"t_start": 1762226713.291023, "env_id": "None"}
r,l,t
-284.308999,2221,5362.416999
-315.808998,2221,5368.776228
-307.808999,2221,5388.328983
-216.809001,2221,5395.739239
-497.253445,2221,5414.842029
-291.809002,2221,5435.182477
-330.809003,2221,5441.674629
-262.809002,2221,5462.117665
-313.808996,2221,5468.921211
-307.309002,2221,5488.281416
-195.809002,2221,5495.958915
-264.308999,2221,5514.567283
-273.808999,2221,5521.025782
-278.808999,2221,5541.318753
-265.809002,2221,5547.685913
-323.809,2221,5567.792612
-340.308999,2221,5574.041628
-319.308996,2221,5594.638246
-453.253444,2221,5613.514306
-510.753445,2221,5620.171001
-273.808998,2221,5640.578557
-299.308997,2221,5647.135701
-260.809001,2221,5667.424425
-317.808999,2221,5673.793388
-289.808999,2221,5694.072702
-253.309001,2221,5700.437312
-188.309002,2221,5719.803494
-224.308998,2221,5726.934472
-318.308998,2221,5746.766202
-201.808995,2221,5767.892201
-263.809003,2221,5774.564932
-258.809002,2221,5794.760623
-252.808999,2221,5801.448654
-261.309,2221,5820.727098
-150.809004,2221,5828.100827
-281.309003,2221,5847.221142
732.080524,1231,5850.806113
-310.808999,2221,5871.312907
-280.808998,2221,5878.164403
407.74445,1607,5896.687603
-444.253445,2221,5903.519598
-297.809003,2221,5923.282912
-298.309,2221,5929.807855
735.532003,1201,5945.813628
-245.308999,2221,5952.542351
-255.253445,2221,5972.234809
333.190556,1741,5977.555182
574.521405,2182,5997.335411
-465.253445,2221,6004.204162
-435.753445,2221,6024.474926
545.541503,1920,6030.299401
510.394517,2076,6048.914744
407.475045,1576,6053.839373
-376.753445,2221,6073.795928
-222.808998,2221,6080.450024
385.047462,2144,6099.965794
-160.809,2221,6106.490874
-371.253444,2221,6126.624746
731.262217,1238,6130.333908
-451.753445,2221,6149.518973
-322.309,2221,6157.365832
441.297751,1878,6175.488036
-337.309,2221,6182.393577
137.177755,2198,6202.613592
-118.308998,2221,6209.482908
406.516059,1631,6228.006782
481.67692,2087,6234.184413
400.443035,1691,6239.0725
511.779043,1435,6256.775283
-267.809001,2221,6263.214423
740.540504,1156,6279.523793
721.597197,1273,6283.483526
-301.753445,2221,6303.70283
640.566954,1582,6308.493697
723.559984,1265,6312.194781
314.526578,1885,6331.095856
-316.808998,2221,6337.724477
672.719022,1661,6356.318236
349.342749,1793,6361.871961
491.191901,2019,6380.523427
720.557011,1326,6384.470804
-541.753444,2221,6391.762739
541.654034,1196,6408.045852
694.338456,1172,6411.576209
-278.309002,2221,6431.683873
296.246553,2221,6438.418508
738.450488,1175,6441.923023
742.701503,1136,6459.146134
698.966913,1487,6463.532019
-175.253443,2221,6482.534795
716.859481,1355,6487.509922
585.739913,1664,6492.376716
-352.808998,2221,6511.859571
-445.753444,2221,6518.166381
200.251059,2200,6538.832935
486.690995,2221,6545.072939
679.190992,2221,6566.007037
567.521437,1579,6570.674021
-253.308999,2221,6591.765436
549.052551,1605,6596.326494
710.420914,1404,6613.081121
-257.253444,2221,6620.701
560.146509,1895,6638.635204
707.315903,1427,6642.888721
559.190999,2221,6663.209917
495.490491,2156,6669.590504
554.19101,2221,6690.0999
531.966415,1874,6695.813709
617.691006,2221,6715.117949
737.447921,1184,6719.725893
552.049675,1868,6725.103582
