time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,train/entropy_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/clip_range,train/n_updates,train/learning_rate
3786,-333.74788881,927744,151,245,2221.0,-6.786543761690457,0.28330010175704956,0.9991992115974426,0.01626285730647699,0.6953812021141251,0.3341064453125,0.030224545,0.2,600,0.00025
3811,-335.48899979000004,933888,152,244,2221.0,-6.777386128902435,0.18820153176784515,0.9991869330406189,0.010639568082600212,0.6862708559880654,0.3044840494791667,0.019323464,0.2,604,0.00025
3837,-339.3767776000001,940032,153,244,2221.0,-6.784767294923465,0.17670825123786926,0.998991072177887,0.009182267201443514,0.6620416203513741,0.2759195963541667,0.022582868,0.2,608,0.00025
3862,-335.62511092,946176,154,244,2221.0,-6.714722573757172,0.1602092981338501,0.9991665482521057,0.016740228102814097,0.6404009681815902,0.337646484375,0.025191216,0.2,612,0.00025
3887,-337.70566642000006,952320,155,244,2221.0,-6.719519322117169,0.21351422369480133,0.9992194175720215,0.009684905540780164,0.686468055161337,0.2965901692708333,0.03573419,0.2,616,0.00025
3913,-341.8545553200001,958464,156,244,2221.0,-6.646427085002263,0.1751357614994049,0.9993701577186584,0.0236368028272409,0.5028902456785241,0.404296875,0.05249588,0.2,620,0.00025
3939,-339.00122206,964608,157,244,2221.0,-6.59137399494648,0.2875520884990692,0.9992350935935974,0.031921156051491074,0.9988098097965121,0.459716796875,0.03564139,0.2,624,0.00025
3963,-341.28566652,970752,158,244,2221.0,-6.555236766735713,0.20313727855682373,0.9992222785949707,0.016913877591529552,0.8050994211807847,0.3410237630208333,0.015637891,0.2,628,0.00025
3989,-342.8512221500001,976896,159,244,2221.0,-6.575245683391889,0.28512468934059143,0.9991735219955444,0.04086939671833534,0.5335942913467685,0.4908447265625,0.09044361,0.2,632,0.00025
4015,-335.72066663000004,983040,160,244,2221.0,-6.41507709523042,0.1402597725391388,0.9989851713180542,0.014386146290538212,0.39661319243411225,0.356689453125,0.02625206,0.2,636,0.00025
4041,-332.12455565000005,989184,161,244,2221.0,-6.232436041037242,0.25778546929359436,0.9992532730102539,0.012968859843870936,0.4614749091366927,0.3402506510416667,0.035250913,0.2,640,0.00025
4066,-334.9023333800001,995328,162,244,2221.0,-6.199632575114568,0.25938624143600464,0.9992271661758423,0.012966918843934158,0.4411595514975488,0.3259684244791667,0.029025523,0.2,644,0.00025
4090,-339.52566674,1001472,163,244,2221.0,-6.257988249262174,0.18053007125854492,0.9991185665130615,0.021574262357413925,0.5006468494733175,0.4080810546875,0.040987283,0.2,648,0.00025
4116,-343.11066673,1007616,164,244,2221.0,-6.353964293996493,0.10032707452774048,0.9993276000022888,0.013809801384923048,0.6206814553588629,0.3255615234375,0.018919408,0.2,652,0.00025
4142,-342.26011131000007,1013760,165,244,2221.0,-6.332183669010798,0.1751437932252884,0.9993250370025635,0.022365248480734106,0.7087417241806785,0.35400390625,0.01984334,0.2,656,0.00025
4167,-344.70622232,1019904,166,244,2221.0,-6.255545968810718,0.08777804672718048,0.998999834060669,0.03092063431783269,0.4803752692726751,0.4507242838541667,0.030016124,0.2,660,0.00025
4192,-343.28288896000004,1026048,167,244,2221.0,-6.1867120911677675,0.3297214210033417,0.9991132616996765,0.005519623145422277,0.7347211744636297,0.24361165364583334,0.013669296,0.2,664,0.00025
4218,-343.49400005,1032192,168,244,2221.0,-6.090770314137141,0.19508026540279388,0.9991510510444641,0.016366289545355055,0.5491360050315658,0.3841145833333333,0.0285301,0.2,668,0.00025
4243,-346.13566668000004,1038336,169,244,2221.0,-6.167929838101069,0.16576243937015533,0.9992914795875549,0.023541270454491798,0.42472470086067915,0.4305826822916667,0.03768539,0.2,672,0.00025
4269,-343.3206667300001,1044480,170,244,2221.0,-6.177166943748792,0.11888478696346283,0.9992703795433044,0.013270384059675658,0.4497932080800335,0.3406575520833333,0.021882534,0.2,676,0.00025
4294,-343.03511110000005,1050624,171,244,2221.0,-6.185124705235164,0.13340851664543152,0.9990224838256836,0.016549951059763163,0.5108118612940112,0.3578287760416667,0.029145544,0.2,680,0.00025
4319,-339.02566659,1056768,172,244,2221.0,-6.115265722076098,0.19228656589984894,0.9984989166259766,0.020552046698867343,0.5722010526806116,0.3818359375,0.035960447,0.2,684,0.00025
4344,-336.94455558000004,1062912,173,244,2221.0,-6.035617431004842,0.3737850487232208,0.9988029599189758,0.012121133874946585,0.6469345667089025,0.2947998046875,0.015059979,0.2,688,0.00025
4370,-338.05788888,1069056,174,244,2221.0,-6.056623766819636,0.3834877610206604,0.9989274144172668,0.029419503043754958,0.6488880415757498,0.4601236979166667,0.036370073,0.2,692,0.00025
4395,-339.4290000000001,1075200,175,244,2221.0,-6.090776075919469,0.35956883430480957,0.9988574981689453,0.015466320004634326,0.7909512768189112,0.3279622395833333,0.025523031,0.2,696,0.00025
4421,-338.37955551000005,1081344,176,244,2221.0,-6.129821941256523,0.550675630569458,0.998600423336029,0.006099855750411128,0.9271948157499234,0.23872884114583334,0.0104914205,0.2,700,0.00025
4447,-334.91811285000006,1087488,177,244,2217.19,-6.244174053271611,0.49515974521636963,0.9988011717796326,0.004522312032349873,0.8876625162859758,0.19970703125,0.011278316,0.2,704,0.00025
4472,-335.3097794600001,1093632,178,244,2217.19,-6.198864837487538,0.47463202476501465,0.9871644377708435,0.006325498482813903,5.6428484078496695,0.3228352864583333,0.013930936,0.2,708,0.00025
4498,-330.89033487,1099776,179,244,2217.19,-6.188250889380773,0.2529846727848053,0.9977889060974121,0.008433963657201579,0.9868348402281603,0.24527994791666666,0.008791521,0.2,712,0.00025
4523,-335.81477924,1105920,180,244,2217.19,-6.209412693977356,0.291856586933136,0.9987866878509521,0.004889254921484583,0.8530191549410423,0.2366943359375,0.015399518,0.2,716,0.00025
4549,-332.63089042000007,1112064,181,244,2217.19,-6.238347972432773,0.25825420022010803,0.9987987875938416,0.0028431169145430126,0.8883677354703347,0.17521158854166666,0.013572771,0.2,720,0.00025
4575,-325.02255706000005,1118208,182,244,2217.19,-6.147686297694842,0.17828375101089478,0.9990901350975037,0.025495661999836255,0.4851783253252506,0.4125569661458333,0.087168135,0.2,724,0.00025
4601,-323.16811265999996,1124352,183,244,2217.19,-6.192135622104009,0.16486087441444397,0.9991836547851562,0.02180435073872407,0.4869882796580593,0.385986328125,0.022819737,0.2,728,0.00025
4626,-324.1742237,1130496,184,244,2217.19,-6.123449191451073,0.12083663046360016,0.999202311038971,0.01681430692891202,0.6566593317935864,0.3537190755208333,0.020854102,0.2,732,0.00025
4652,-323.94200141,1136640,185,244,2217.19,-6.121846303343773,0.19337178766727448,0.9988067150115967,0.002563202079424324,0.7140730417643985,0.19437662760416666,0.013660353,0.2,736,0.00025
4679,-326.64011066,1142784,186,244,2221.0,-6.160160635908444,0.23314765095710754,0.9988280534744263,0.006510974128711193,0.8318059366817275,0.23177083333333334,0.025765434,0.2,740,0.00025
4704,-325.48788847,1148928,187,244,2221.0,-6.275700390338898,0.21106839179992676,0.9990415573120117,0.008672020034282468,0.7750030783936381,0.24601236979166666,0.018942825,0.2,744,0.00025
4730,-336.96677758000004,1155072,188,244,2221.0,-6.266134699185689,0.2335774004459381,0.9989608526229858,0.009476185766592001,0.7749531054869294,0.2751057942708333,0.02377533,0.2,748,0.00025
4755,-334.02955534000006,1161216,189,244,2221.0,-6.3048123468955355,0.1152166798710823,0.9990407228469849,0.004859916441394792,0.7222537718092402,0.2698567708333333,0.018220665,0.2,752,0.00025
